Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
470,108295,0,0,0,2989012854,60028200,53976645,0,0
471,108342,0,0,0,2989729522,60041924,53988973,0,0
472,108501,0,0,0,2992108975,60088340,54030670,0,0
473,108671,0,0,0,2995397573,60156973,54092363,0,0
474,108821,0,0,0,3000151359,60250259,54176256,0,0
475,108986,0,0,0,3004762555,60331736,54249512,0,0
476,109144,0,0,0,3009532645,60428430,54336467,0,0
477,109323,0,0,0,3014617893,60530063,54427858,0,0
478,109454,0,0,0,3017876369,60594169,54485492,0,0
479,109616,0,0,0,3023992936,60713796,54593080,0,0
480,109773,0,0,0,3029158154,60819002,54687694,0,0
481,109928,0,0,0,3033908273,60909761,54769308,0,0
482,110079,0,0,0,3038937145,60998743,54849324,0,0
483,110248,0,0,0,3045477918,61146042,54981818,0,0
484,110405,0,0,0,3050140564,61233180,55060169,0,0
