Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
3735,103177,0,0,0,5005909875,101725385,91506523,0,0
3736,103188,0,0,0,5006690361,101741803,91521294,0,0
3737,103193,0,0,0,5007784407,101760039,91537705,0,0
3738,103206,0,0,0,5008289146,101768647,91545447,0,0
3739,103215,0,0,0,5009661766,101806035,91579090,0,0
3740,103221,0,0,0,5010098540,101814524,91586728,0,0
3741,103228,0,0,0,5012025211,101865775,91632850,0,0
3742,103232,0,0,0,5012129495,101867857,91634721,0,0
3743,103238,0,0,0,5012581441,101876037,91642080,0,0
3744,103247,0,0,0,5012943609,101883000,91648343,0,0
3745,103254,0,0,0,5014826153,101906846,91669801,0,0
3746,103257,0,0,0,5014972180,101909059,91671792,0,0
3747,103267,0,0,0,5015572040,101921389,91682884,0,0
3748,103272,0,0,0,5015684417,101923226,91684534,0,0
3749,103280,0,0,0,5017331286,101951704,91710161,0,0
3750,103286,0,0,0,5017972566,101961812,91719255,0,0
3751,103292,0,0,0,5018418966,101971306,91727796,0,0
3752,103297,0,0,0,5018827047,101979790,91735430,0,0
3753,103303,0,0,0,5019060708,101985392,91740469,0,0
3754,103305,0,0,0,5019088593,101986004,91741019,0,0
3755,103312,0,0,0,5019963385,102002869,91756193,0,0
3756,103317,0,0,0,5020235690,102009570,91762221,0,0
3757,103321,0,0,0,5020418417,102013394,91765661,0,0
3758,103328,0,0,0,5020723371,102019327,91770998,0,0
3759,103333,0,0,0,5021715815,102038958,91788664,0,0
3760,103338,0,0,0,5021880873,102042548,91791892,0,0
3761,103343,0,0,0,5022266672,102051128,91799611,0,0
3762,103346,0,0,0,5022482727,102054984,91803080,0,0
3763,103348,0,0,0,5022534379,102056167,91804144,0,0
3764,103352,0,0,0,5022946807,102063788,91811001,0,0
3765,103357,0,0,0,5023234307,102071080,91817561,0,0
3766,103360,0,0,0,5023352635,102074593,91820721,0,0
3767,103372,0,0,0,5023934661,102086149,91831114,0,0
